#    rad      RA           Dec          Plx       e        pmRA      e       pmDE      e      RUWE       Gmag       e        BPmag       e        RPmag       e       RVDR2    e   Tefftemp loggtemp
 0.1696  312.8627924158662  +44.3487278029122      0.4648  0.2887     -3.675  0.294     -5.905  0.299     1.001  19.546389  0.004269  21.120462  0.121672  18.314383  0.028470  9999.99 99.99   9999.9     99.9
 0.1735  312.8670541564753  +44.3467307137741      1.1100  0.7577     -1.372  0.866     -5.518  0.982     1.149  20.630274  0.009363  21.439732  0.168204  19.290262  0.042406  9999.99 99.99   9999.9     99.9
 0.2078  312.8586983453100  +44.3472237412418     -2.2244  0.7956     -1.587  0.804     -3.623  0.759     1.097  20.528660  0.008097  21.324535  0.166102  19.040226  0.044303  9999.99 99.99   9999.9     99.9
 0.2237  312.8683927471481  +44.3457289578683     -0.0766  0.2159     -3.197  0.237     -5.112  0.234     1.057  18.967062  0.003728  20.976719  0.114681  17.455393  0.010597  9999.99 99.99   9999.9     99.9
 0.2342  312.8663639224461  +44.3427306877606     -0.0386  0.3839     -1.809  0.379     -2.419  0.393     1.082  19.710972  0.004566  21.394463  0.122699  18.363201  0.027119  9999.99 99.99   9999.9     99.9
 0.3312  312.8557378731741  +44.3443549019600      0.9124  0.0685      2.596  0.071     -0.574  0.075     0.925  17.251215  0.002946  18.819864  0.022779  16.019130  0.004801  9999.99 99.99   9999.9     99.9
 0.3871  312.8557355932490  +44.3495237838792      0.0660  0.4594     -5.563  0.482     -2.854  0.517     1.070  20.144884  0.005744  21.145264  0.135778  18.943495  0.046534  9999.99 99.99   9999.9     99.9
 0.4364  312.8644153982197  +44.3386900967377      1.0436  0.2928     -3.698  0.281     -4.995  0.292     1.022  19.456558  0.004322  20.820950  0.105777  18.144960  0.021954  9999.99 99.99   9999.9     99.9
 0.5151  312.8649033097899  +44.3374244647088      0.2749  0.2851     -8.920  0.294     -8.204  0.303     1.015  19.563437  0.004418  20.979647  0.097310  18.297330  0.016777  9999.99 99.99   9999.9     99.9
 0.5349  312.8712517194732  +44.3391057569570      0.5810  0.6761     -2.117  0.734     -2.425  0.777     1.062  20.442335  0.007666  21.485983  0.223858  19.134789  0.039032  9999.99 99.99   9999.9     99.9
 0.5505  312.8701319891574  +44.3381954062178     -0.2596  0.5486     -3.567  0.626     -4.671  0.634     1.125  20.231620  0.006204  21.917913  0.163955  18.839594  0.029032  9999.99 99.99   9999.9     99.9
 0.5905  312.8769647805767  +44.3458693584346     -0.4350  0.7236     -5.640  0.646     -2.880  0.686     0.989  20.557144  0.007799  21.659317  0.217671  19.206392  0.043663  9999.99 99.99   9999.9     99.9
 0.6478  312.8650888258205  +44.3352074804867      0.8151  0.3208     -3.608  0.317     -6.680  0.326     1.029  19.679277  0.004463  20.969276  0.108540  18.462198  0.030128  9999.99 99.99   9999.9     99.9
 0.6520  312.8504509320641  +44.3399914302234      0.2315  0.4319     -3.583  0.450     -6.020  0.481     1.050  20.100328  0.006127  20.910040  0.184030  18.690004  0.030488  9999.99 99.99   9999.9     99.9
 0.6890  312.8646573478286  +44.3344682621054     -0.2537  0.3774     -2.704  0.386     -3.192  0.389     0.973  19.880013  0.005159  21.061304  0.153653  18.545444  0.025116  9999.99 99.99   9999.9     99.9
 0.7755  312.8788489305187  +44.3523185262477      0.4727  0.2889      0.577  0.297     -1.795  0.297     0.978  19.498580  0.004475  21.290340  0.158322  18.220686  0.019628  9999.99 99.99   9999.9     99.9
 0.7844  312.8487237827318  +44.3539198929566      0.4527  0.4672      0.761  0.524     -2.526  0.499     1.045  20.090178  0.005388  21.141860  0.109912  18.872660  0.036266  9999.99 99.99   9999.9     99.9
 0.7927  312.8447583601027  +44.3450387166236      0.3193  0.1115     -4.281  0.114     -1.635  0.124     1.063  18.058437  0.003089  19.596336  0.040455  16.872902  0.007018  9999.99 99.99   9999.9     99.9
 0.8180  312.8594264538300  +44.3592572797500  99999.9999 99.9999  99999.999 99.999  99999.999 99.999  9999.999  20.329182  0.012909  18.526110  0.121811  17.414427  0.058642  9999.99 99.99   9999.9     99.9
 0.8419  312.8435587279234  +44.3462598269131      1.0326  0.2192     -1.134  0.189     -3.171  0.215     0.991  19.083723  0.025717  21.093560  0.111420  17.612550  0.070450  9999.99 99.99   9999.9     99.9
 0.8601  312.8597831968759  +44.3600321921158      1.4894  0.0115    -11.420  0.012     -5.107  0.012     0.930  13.245116  0.002763  13.560637  0.002907  12.760448  0.003812  9999.99 99.99   9999.9     99.9
 0.8851  312.8444619872012  +44.3521186870298      1.1981  0.0326     -1.062  0.036     -4.050  0.036     1.011  15.926848  0.010262  17.131157  0.034995  14.838290  0.026990  9999.99 99.99   9999.9     99.9
 0.8961  312.8788249968200  +44.3360062934500  99999.9999 99.9999  99999.999 99.999  99999.999 99.999  9999.999  20.931078  0.018825  20.119928  0.460240  19.700180  0.141675  9999.99 99.99   9999.9     99.9
 0.9216  312.8420716126469  +44.3487528887950      0.6468  0.4324     -1.781  0.432     -3.455  0.434     1.036  19.963060  0.005185  21.202002  0.171601  18.838943  0.032770  9999.99 99.99   9999.9     99.9
 0.9471  312.8411328996774  +44.3458951314255      1.0470  0.0922     -6.336  0.097     -9.617  0.100     0.941  17.830309  0.003049  19.333090  0.025888  16.660140  0.007015  9999.99 99.99   9999.9     99.9
 0.9551  312.8590417459433  +44.3615353560930      0.2834  0.9298      1.370  0.874     -0.417  0.947     1.042  20.701435  0.014355  20.590431  0.168978  19.266924  0.072652  9999.99 99.99   9999.9     99.9
 0.9707  312.8643194683469  +44.3297589080666      0.1149  0.3023     -2.700  0.305     -6.250  0.306     1.046  19.594849  0.004568  21.133505  0.148568  18.343956  0.020092  9999.99 99.99   9999.9     99.9
 0.9891  312.8823407799142  +44.3367322049838      0.8769  0.2727     -4.111  0.277     -4.551  0.285     0.990  19.465605  0.004412  21.162796  0.129442  18.213346  0.018204  9999.99 99.99   9999.9     99.9
