	#	rad	RA	Dec	Plx	e	pmRA	e.1	pmDE	e.2	RUWE	Gmag	e.3	BPmag	e.4	RPmag	e.5	RVDR2	e.6	Tefftemp	loggtemp	dist	RAs	Decs	Ns	Nd	Ng	Nr	Ni	Nz	Ny	gmag	rmag	imag	zmag	ymag
0	1.1785	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0748	0.294	5.0	0.299	99.9999	19.546389	0.004269	21.9762	0.121672	21.0751	0.02847	99.9999	99.99		99.9		312.75761913	44.3477961	0.0594	9.0	2.0	0.0	3.0	4.0	0.0	999.9999	99.9999	99.9999	0.0074	0.04	99.9999
1	1.234	312.8627924158662	44.3487278029122	0.4648	0.2887	0.001	0.294	9.0	0.299	20.8316	19.546389	0.004269	19.9213	0.121672	99.9999	0.02847	18.6914	99.99		99.9		312.7352829	44.3489948	0.001	5.0	1.0	1.0	1.0	0.0	2.0	21.195	0.1403	0.0767	0.0318	99.9999	0.0547
2	1.2448	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0538	0.294	6.0	0.299	21.7293	19.546389	0.004269	21.9684	0.121672	20.8818	0.02847	19.8026	99.99		99.9		312.75138847	44.34594343	0.0688	17.0	5.0	1.0	3.0	5.0	3.0	20.9519	0.2087	0.1676	0.0348	0.0462	0.0106
3	1.2705	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0087	0.294	20.0	0.299	18.0834	19.546389	0.004269	17.2127	0.121672	16.6804	0.02847	16.2822	99.99		99.9		312.73465359	44.34855708	0.0065	61.0	12.0	13.0	15.0	11.0	10.0	19.5257	0.0169	0.0076	0.007	0.007	0.0074
4	1.2884	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0782	0.294	6.0	0.299	99.9999	19.546389	0.004269	22.157	0.121672	21.3259	0.02847	19.4986	99.99		99.9		312.75437206	44.3454225	0.0782	5.0	0.0	0.0	2.0	2.0	1.0	999.9999	99.9999	99.9999	0.0077	0.1375	0.1562
5	1.2897	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0989	0.294	6.0	0.299	99.9999	19.546389	0.004269	22.264	0.121672	20.3823	0.02847	19.8325	99.99		99.9		312.76702057	44.34894921	0.0989	3.0	0.0	0.0	1.0	1.0	1.0	999.9999	99.9999	99.9999	0.1904	0.1946	0.1428
6	1.2964	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0071	0.294	10.0	0.299	19.0362	19.546389	0.004269	18.05	0.121672	17.459	0.02847	17.0068	99.99		99.9		312.748345	44.345092	0.0052	48.0	4.0	10.0	15.0	11.0	8.0	20.5331	0.0393	0.0142	0.0065	0.0059	0.0113
7	1.3123	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0395	0.294	10.0	0.299	21.9268	19.546389	0.004269	21.302	0.121672	20.471	0.02847	19.8271	99.99		99.9		312.73690947	44.34689896	0.0323	18.0	0.0	1.0	7.0	7.0	3.0	999.9999	99.9999	0.1814	0.0463	0.0538	0.1913
8	1.3141	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0147	0.294	7.0	0.299	20.8926	19.546389	0.004269	19.9413	0.121672	19.2476	0.02847	18.7147	99.99		99.9		312.74735999	44.34484694	0.0124	16.0	0.0	2.0	4.0	5.0	5.0	999.9999	99.9999	0.0771	0.0109	0.0114	0.0165
9	1.3283	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0104	0.294	10.0	0.299	18.2919	19.546389	0.004269	17.2992	0.121672	16.6956	0.02847	16.2256	99.99		99.9		312.74948927	44.34453063	0.0129	57.0	12.0	11.0	14.0	11.0	9.0	19.8346	0.032	0.0054	0.0105	0.0041	0.0104
10	1.3421	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0811	0.294	3.0	0.299	99.9999	19.546389	0.004269	21.8583	0.121672	21.3055	0.02847	99.9999	99.99		99.9		312.76552484	44.34724667	0.0811	4.0	0.0	0.0	2.0	2.0	0.0	999.9999	99.9999	99.9999	0.1339	0.1968	99.9999
11	1.3427	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0807	0.294	6.0	0.299	99.9999	19.546389	0.004269	22.2077	0.121672	21.2507	0.02847	99.9999	99.99		99.9		312.75732168	44.34490996	0.0807	7.0	1.0	0.0	3.0	3.0	0.0	999.9999	99.9999	99.9999	0.1922	0.084	99.9999
12	1.3444	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0959	0.294	8.0	0.299	21.4877	19.546389	0.004269	20.5586	0.121672	19.6468	0.02847	19.0789	99.99		99.9		312.74004203	44.34542178	0.075	17.0	0.0	1.0	3.0	7.0	6.0	25.298	99.9999	0.1395	0.0776	0.0351	0.0112
13	1.3486	312.8627924158662	44.3487278029122	0.4648	0.2887	0.0372	0.294	10.0	0.299	20.7736	19.546389	0.004269	19.7089	0.121672	19.0837	0.02847	18.6221	99.99		99.9		312.73918343	44.34556174	0.0775	44.0	5.0	10.0	13.0	8.0	8.0	21.9149	0.0823	0.0431	0.0127	0.0137	0.0463
